city_name,candidate_num,knee_cost,knee_emission,knee_built_cs,knee_fast_per_cs,knee_slow_per_cs,knee_extra_large,knee_extra_medium,knee_extra_small,large_model,medium_model,small_model,knee_built_ratio
萍乡市,24,46.54908656,1328.31103,4,6,18.25,1,1,0,4,2,1,0.17
阳江市,24,23.22746075,772.4018684,4,2.5,9.25,4,0,0,4,2,0,0.17
酒泉市,24,9.279892997,229.9103085,7,0.142857143,3.857142857,0,1,0,4,2,1,0.29
云浮市,23,31.86913205,1143.925823,4,5.25,12,2,0,0,4,4,1,0.17
随州市,22,41.39306201,1450.344308,3,10.66666667,16.66666667,2,0,0,4,2,1,0.14
来宾市,21,40.58862844,1167.511917,3,4.666666667,20,5,0,0,4,2,1,0.14
绥化市,21,12.31539604,465.1446069,4,3.5,9.5,0,0,0,4,2,1,0.19
朝阳市,21,48.77043458,1855.070376,3,19.66666667,20,6,0,0,4,2,1,0.14
漯河市,20,9.974688368,434.1700866,3,2,10,9,0,0,4,2,1,0.15
铜川市,20,70.29669804,2827.350386,4,15.5,20,16,0,0,4,2,1,0.2
雅安市,19,38.19462034,1625.994303,2,20,20,9,11,0,4,2,1,0.11
攀枝花市,19,12.84113709,534.8082098,3,1.666666667,12.33333333,7,0,0,4,2,1,0.16
滁州市,18,27.32846879,1678.090055,3,15.33333333,20,34,0,0,4,2,0,0.17
松原市,17,51.84698905,1381.726999,3,12.33333333,20,4,5,0,4,2,1,0.18
鹰潭市,16,3.965714329,45.73087411,4,0,2.5,0,0,0,4,2,1,0.25
黑河市,16,19.22658661,828.1505999,6,4.166666667,9.5,0,8,0,4,2,1,0.38
安阳市,16,13.65313484,773.9605253,3,1.666666667,13,2,0,0,4,2,1,0.19
忻州市,14,8.529385838,503.2326023,2,2.5,20,0,0,0,4,2,0,0.14
庆阳市,14,45.56973101,1565.493251,2,20,20,1,0,0,4,2,1,0.14
乌兰察布市,12,36.79271232,865.5992462,3,1.333333333,19.33333333,0,0,0,4,3,1,0.25
固原市,11,3.409303467,83.02028482,3,0,3,0,0,0,4,2,1,0.27
铁岭市,8,11.25577096,408.8116487,1,19,20,0,0,0,4,2,0,0.12
