,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
SA30919,-12.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-20.0,-8.0,0.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-11.0,-11.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,-20.0,0.0,-20.0,0.0,12.483676728059526,0.0,0.0,0.0,0.0
SA30938,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,-5.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,-6.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-20.0,0.0,-20.0,0.0,12.387873167997402,0.0,0.0,0.0,0.0
SA30940,-7.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-7.0,0.0,0.0,0.0,-5.0,-6.0,0.0,-11.0,0.0,-14.0,-8.0,-15.0,0.0,11.803202747150022,0.0,-28.0,0.0,0.0
SA31086,-12.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,0.0,-20.0,-6.0,-11.0,0.0,0.0,0.0,-5.0,-16.0,0.0,0.0,0.0,-15.0,0.0,-20.0,0.0,12.48026325524001,0.0,0.0,0.0,0.0
SA31106,-9.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-20.0,-8.0,-5.0,-9.0,0.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,-8.0,-20.0,0.0,-20.0,0.0,12.445828030525776,0.0,0.0,0.0,0.0
SA31128,-9.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-5.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,0.0,0.0,0.0,-5.0,0.0,0.0,-11.0,-8.0,-20.0,0.0,-15.0,0.0,12.445783832241093,0.0,0.0,0.0,0.0
SA31201,-7.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-5.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,0.0,0.0,0.0,-5.0,-6.0,0.0,-11.0,0.0,-15.0,-8.0,-15.0,0.0,12.41807602979977,0.0,0.0,0.0,0.0
SA31229,-2.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-7.0,-15.0,-7.0,-4.0,-6.0,-17.0,-6.0,-5.0,-6.0,-3.0,0.0,-5.0,-6.0,-3.0,-11.0,0.0,-14.0,-8.0,-9.0,-2.0,11.72457199903006,8.881784197001252e-16,-28.0,0.0,0.0
SA31237,-7.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-5.0,-9.0,-6.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,-6.0,0.0,0.0,-5.0,0.0,0.0,-11.0,-8.0,-20.0,0.0,-9.0,0.0,12.420043946444492,0.0,0.0,0.0,0.0
SA31293,-8.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,-5.0,-9.0,-14.0,-10.0,-15.0,-7.0,0.0,-6.0,-20.0,-6.0,-8.0,0.0,-3.0,0.0,-5.0,0.0,0.0,-11.0,-8.0,-20.0,0.0,-15.0,0.0,12.433652445910093,0.0,0.0,0.0,0.0
SA31315,-14.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,-20.0,0.0,0.0,-9.0,-14.0,-16.0,-15.0,0.0,0.0,0.0,-20.0,0.0,-11.0,0.0,0.0,0.0,-5.0,-16.0,0.0,0.0,0.0,-19.0,0.0,-20.0,0.0,12.524695202641308,0.0,0.0,0.0,0.0
SA31384,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-7.0,-5.0,-9.0,-6.0,-7.0,-15.0,-7.0,-4.0,-6.0,-17.0,-6.0,-6.0,-6.0,-3.0,-2.0,-5.0,-6.0,-3.0,-11.0,-5.0,-15.0,-3.0,-9.0,-2.0,12.371208280287613,0.0,0.0,0.0,0.0
SA31385,-11.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,-20.0,-8.0,-5.0,-9.0,0.0,-16.0,-15.0,-7.0,0.0,-6.0,-20.0,0.0,-8.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-8.0,-20.0,0.0,-20.0,0.0,12.436441125533769,0.0,0.0,0.0,0.0
SA31408,-3.0,-13.0,0.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,-8.0,-4.0,-9.0,-6.0,-10.0,-15.0,-7.0,-4.0,-6.0,-17.0,-6.0,-5.0,-6.0,-3.0,0.0,-5.0,-6.0,0.0,-11.0,0.0,-14.0,-8.0,-9.0,-2.0,11.76764263266988,8.881784197001252e-16,-28.0,0.0,0.0
